,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Periodo,,Industria (B-F),,,,,,Servizi (G-S escluso O),,,,,,,,,,,
,,"Estrazione di minerali da cave e miniere 
(B)","Attività manifatturiere 
(C)","Fornitura di 
energia elettrica, gas, vapore e aria condizionata 
(D)","Fornitura di acqua; reti fognarie, attività di gestione dei rifiuti e risanamento 
(E)","Costruzioni 
(F)",,"Commercio al dettaglio; riparazione di autoveicoli e motocicli 
(G)","Trasporto e magazzinaggio 
(H)","Attività dei servizi di alloggio e ristorazione 
(I)","Servizi di informazione e comunicazione 
(J)","Attività finanziarie 
e assicurative 
(K)","Attività professionali, scientifiche e tecniche 
(M)","Noleggio, agenzie di viaggio, servizi di supporto alle imprese 
(N)","Attività immobiliari, professionali e noleggio (L-N) (a)","Istruzione 
(P)","Sanità e assistenza sociale 
(Q)","Attività artistiche, sportive, di intrattenimento e divertimento 
(R)","Altre attività di servizi 
(S)"
Valori percentuali,,,,,,,,,,,,,,,,,,,
2010,I Trimestre,"0,1","0,4","0,3","0,3","0,8",,"0,8","0,6","0,8","0,9","0,6","0,9","0,7","0,8","0,6","1,2","1,6","1,3"
,II Trimestre,"0,2","0,5","0,3","0,5","0,6",,"0,9","0,5","1,0","0,6","0,6","1,2","0,5","0,7","0,9","1,0","1,4","0,8"
,III Trimestre,"0,2","0,5","0,3","0,6","0,7",,"1,1","0,5","0,9","0,6","0,6","1,1","0,8","0,9","0,6","1,0","1,5","0,9"
,IV Trimestre,"0,0","0,5","0,4","0,3","0,6",,"1,0","0,6","1,1","0,6","0,6","1,0","0,9","0,9","0,6","1,1","1,3","0,5"
2011,I Trimestre,"0,2","0,6","0,5","0,7","0,9",,"0,9","0,5","1,1","1,0","0,5","1,1","1,0","1,0","0,8","1,1","1,5","0,7"
,II Trimestre,"0,2","0,6","0,3","0,9","0,6",,"1,0","0,6","1,1","0,9","0,6","1,5","1,3","1,3","2,6","1,2","1,5","0,6"
,III Trimestre,"0,1","0,6","0,3","0,5","0,7",,"0,9","0,4","1,2","1,2","0,4","1,4","1,0","1,1","0,6","0,9","1,1","1,0"
,IV Trimestre,"0,2","0,5","0,2","0,5","0,6",,"0,8","0,5","1,1","0,9","0,4","1,2","0,9","1,0","0,8","0,7","1,0","0,6"
2012,I Trimestre,"0,1","0,5","0,2","0,4","0,8",,"0,8","0,5","1,1","0,7","0,3","1,0","0,3","0,5","0,3","0,4","0,8","0,3"
,II Trimestre,"0,3","0,4","0,1","0,3","0,8",,"0,6","0,3","1,0","0,6","0,3","0,8","0,3","0,4","0,4","0,6","0,6","0,5"
,III Trimestre,"0,5","0,4","0,2","0,3","0,5",,"0,6","0,4","0,9","0,6","0,3","0,9","0,4","0,5","0,7","0,4","0,7","0,2"
