Tabella 5 -,Occupati per settore di attività economica - Dati destagionalizzati,,,,,
,(migliaia di unità). ,,,,,
,,,,,,
Periodo,,Totale,Agricoltura,Industria in senso stretto,Edilizia,Servizi
,,,,,,
2004,I Trimestre,22.237,977,5.051,1.766,14.443
,II Trimestre,22.334,968,5.081,1.816,14.469
,III Trimestre,22.365,980,5.034,1.850,14.500
,IV Trimestre,22.363,971,5.057,1.856,14.478
2005,I Trimestre,22.340,946,5.035,1.882,14.477
,II Trimestre,22.352,947,5.029,1.894,14.483
,III Trimestre,22.311,936,5.032,1.879,14.464
,IV Trimestre,22.448,950,5.031,1.886,14.581
2006,I Trimestre,22.590,966,5.015,1.872,14.737
,II Trimestre,22.729,980,5.046,1.858,14.845
,III Trimestre,22.650,975,5.055,1.845,14.776
,IV Trimestre,22.713,954,5.041,1.875,14.842
2007,I Trimestre,22.659,931,5.053,1.874,14.800
,II Trimestre,22.804,918,5.080,1.906,14.900
,III Trimestre,22.907,891,5.034,1.919,15.063
,IV Trimestre,22.970,886,5.019,1.920,15.146
2008,I Trimestre,23.022,866,4.923,1.925,15.309
,II Trimestre,23.111,854,4.921,1.952,15.384
,III Trimestre,23.038,851,4.900,1.950,15.337
,IV Trimestre,22.937,841,4.829,1.940,15.326
2009,I Trimestre,22.713,841,4.754,1.927,15.192
,II Trimestre,22.612,827,4.659,1.902,15.224
,III Trimestre,22.448,831,4.558,1.889,15.170
,IV Trimestre,22.365,833,4.486,1.910,15.137
2010,I Trimestre,22.332,826,4.450,1.897,15.158
,II Trimestre,22.338,849,4.448,1.886,15.154
,III Trimestre,22.279,835,4.425,1.865,15.154
,IV Trimestre,22.390,847,4.451,1.856,15.236
2011,I Trimestre,22.439,836,4.498,1.811,15.294
,II Trimestre,22.450,823,4.506,1.804,15.317
,III Trimestre,22.381,836,4.499,1.766,15.279
,IV Trimestre,22.386,827,4.502,1.727,15.330
2012,I Trimestre,22.347,825,4.452,1.710,15.360
,II Trimestre,22.371,844,4.423,1.695,15.409
,III Trimestre,22.253,809,4.401,1.638,15.404
,IV Trimestre,22.166,807,4.382,1.605,15.372
2013,I Trimestre,21.966,802,4.340,1.543,15.281
,II Trimestre,21.864,779,4.313,1.513,15.260
,III Trimestre,21.780,783,4.321,1.506,15.170
,IV Trimestre,21.832,782,4.355,1.501,15.194
2014,I Trimestre,21.836,777,4.376,1.467,15.217
,II Trimestre,21.921,792,4.409,1.464,15.257
,III Trimestre,21.920,803,4.387,1.459,15.270
,IV Trimestre,22.013,812,4.422,1.441,15.338
2015,I Trimestre,21.997,817,4.381,1.449,15.351
,II Trimestre,22.075,824,4.416,1.457,15.378
,III Trimestre,22.175,834,4.431,1.440,15.471
,IV Trimestre,22.247,846,4.441,1.408,15.552
2016,I Trimestre,22.286,857,4.449,1.388,15.593
,II Trimestre,22.480,868,4.466,1.398,15.747
,III Trimestre,22.461,876,4.482,1.373,15.730
,IV Trimestre,22.558,883,4.474,1.373,15.828
2017,I Trimestre,22.632,866,4.473,1.394,15.899
,II Trimestre,22.682,863,4.486,1.384,15.949
,III Trimestre,22.768,849,4.532,1.387,16.000
,IV Trimestre,22.842,857,4.560,1.379,16.046
2018,I Trimestre,22.850,853,4.559,1.368,16.069
,II Trimestre,23.029,867,4.622,1.380,16.160
,III Trimestre,22.956,858,4.616,1.377,16.105
,IV Trimestre,22.979,851,4.605,1.378,16.145
2019,I Trimestre,23.011,869,4.648,1.336,16.157
,II Trimestre,23.198,883,4.660,1.333,16.322
,III Trimestre,23.098,898,4.640,1.318,16.242
,IV Trimestre,23.082,917,4.655,1.318,16.192
2020,I Trimestre,22.914,905,4.647,1.320,16.041
,II Trimestre,22.123,890,4.569,1.308,15.354
,III Trimestre,22.224,915,4.550,1.336,15.424
,IV Trimestre,22.271,922,4.578,1.347,15.424
2021,I Trimestre,22.112,922,4.494,1.376,15.319
,II Trimestre,22.508,927,4.554,1.415,15.613
,III Trimestre,22.751,914,4.615,1.445,15.775
,IV Trimestre,22.846,885,4.622,1.483,15.856
2022,I Trimestre,22.960,875,4.603,1.516,15.964
,II Trimestre,23.127,876,4.640,1.579,16.032
,III Trimestre,23.109,866,4.671,1.554,16.018
,IV Trimestre,23.271,868,4.668,1.560,16.174
2023,I Trimestre,23.396,858,4.732,1.533,16.273
,II Trimestre,23.543,852,4.766,1.520,16.405
,III Trimestre,23.579,839,4.736,1.547,16.457
,IV Trimestre,23.775,830,4.760,1.543,16.641
2024,I Trimestre,23.783,816,4.764,1.572,16.631
,II Trimestre,23.939,818,4.734,1.613,16.773
,III Trimestre,24.052,811,4.781,1.606,16.853
,IV Trimestre,24.029,826,4.766,1.644,16.792
2025,I Trimestre,24.132,821,4.765,1.649,16.898
,II Trimestre,24.144,827,4.784,1.676,16.857
,III Trimestre,24.085,841,4.711,1.688,16.845
,IV Trimestre,24.121,844,4.703,1.702,16.871
